order_id,order_date,ship_date,delivery_date,order_status,customer_id,customer_name,country,state,city,product_id,product_name,category,sub_category,brand,quantity,unit_price,payment_method,gender,age,total_sales
A10000,12-11-2026,29-03-2026,23-02-2026,Delivered,C5691,Ricky Potter,India,South Carolina,New Joe,P703,without,Home,Furniture,Doyle-Jordan,3,42468,Card,Female,43,127403
A10001,03-12-2026,18-01-2026,03-05-2026,Delivered,C9811,Chris Davenport,India,Tennessee,Madisonmouth,P348,school,Home,Furniture,Davis LLC,2,36139,COD,Male,47,72278
A10002,07-06-2026,24-10-2026,24-10-2026,Delivered,C7341,Timothy Gallagher,India,Iowa,East Larryberg,P493,I,Electronics,Laptop,Watson and Sons,4,47149,UPI,Male,36,188596
A10003,27-05-2026,08-01-2026,27-02-2026,Delivered,C4012,Angela Collins,India,Kentucky,South Margaretshire,P305,step,Electronics,Laptop,"Sandoval, Buckley and Solis",1,18488,Card,Female,49,18488
A10004,03-11-2026,13-10-2026,22-07-2026,Delivered,C1328,David Davidson DDS,India,North Dakota,Velasquezview,P488,bit,Home,Kitchen,"Key, Bautista and Bowen",1,1742,UPI,Male,55,1742
A10005,09-07-2026,25-06-2026,05-02-2026,Delivered,C9019,Lauren Russell,India,South Carolina,Ryanburgh,P426,through,Home,Furniture,Lee Inc,3,12619,Card,Female,32,37857
A10006,10-09-2026,09-09-2026,20-10-2026,Delivered,C9866,Heather Campos,India,Colorado,Turnerville,P801,page,Electronics,Mobile,Wade-Jackson,4,41578,COD,Female,28,166310
A10007,11-11-2026,17-12-2026,12-06-2026,Delivered,C2638,Elizabeth Thornton,India,Georgia,Ricemouth,P201,choice,Home,Furniture,Johns-Kelly,4,21118,COD,Male,38,84472
A10008,06-05-2026,22-11-2026,31-03-2026,Delivered,C4823,Theresa Collins,India,Maryland,Coreystad,P563,like,Electronics,Mobile,"Silva, White and Bates",5,12891,COD,Male,26,64455
A10009,26-11-2026,05-11-2026,19-12-2026,Delivered,C9948,Chelsea Brown,India,South Carolina,Kendraton,P613,example,Fashion,Clothing,"Carroll, Barnes and Harris",2,42438,UPI,Male,29,84877
A10010,15-03-2026,11-07-2026,22-08-2026,Delivered,C9288,Jamie Gamble,India,Montana,Shieldston,P158,alone,Electronics,Mobile,"Robinson, Baxter and Alexander",3,29556,COD,Female,20,88668
A10011,16-05-2026,21-04-2026,30-12-2026,Delivered,C6925,Antonio Allen,India,Georgia,Lawrenceland,P581,experience,Home,Furniture,Johns and Sons,4,5542,UPI,Male,19,22169
A10012,09-02-2026,25-10-2026,16-04-2026,Delivered,C1171,Kyle Fuller,India,Texas,North Jordan,P726,firm,Home,Kitchen,Leblanc LLC,1,49691,COD,Male,34,49691
A10013,05-01-2026,07-06-2026,20-06-2026,Delivered,C9232,Veronica Villa,India,California,South Heather,P840,series,Electronics,Accessories,Monroe PLC,2,2201,COD,Female,22,4402
A10014,27-01-2026,21-07-2026,19-05-2026,Delivered,C4714,Jennifer Dyer,India,Massachusetts,Patriciashire,P389,method,Home,Furniture,Flynn Group,4,5722,Card,Female,29,22890
A10015,10-04-2026,15-03-2026,17-11-2026,Delivered,C1066,Dakota Henderson,India,North Carolina,Lake Karenland,P355,little,Home,Kitchen,Johnson-Sandoval,5,44104,Card,Female,21,220521
A10016,21-01-2026,04-02-2026,27-01-2026,Delivered,C3363,Thomas Thompson,India,Vermont,Port Beverly,P670,specific,Home,Kitchen,"Wu, Lee and Smith",3,39964,NetBanking,Male,54,119892
A10017,28-04-2026,31-10-2026,15-12-2026,Delivered,C5554,Mark Roberts,India,Oklahoma,Mariafort,P413,themselves,Home,Kitchen,Steele-Butler,2,12576,Card,Male,57,25152
A10018,02-02-2026,01-03-2026,16-05-2026,Delivered,C2204,Michelle Colon,India,Iowa,Nielsenton,P693,pull,Electronics,Laptop,"Wong, Simmons and Holt",2,19050,Card,Male,65,38100
A10019,05-06-2026,01-09-2026,24-03-2026,Delivered,C5064,Phyllis Farrell,India,Kansas,West Blakemouth,P347,ground,Electronics,Laptop,"Hammond, Freeman and Young",4,19917,COD,Male,47,79669
A10020,05-03-2026,12-12-2026,18-07-2026,Delivered,C9069,Anthony Contreras,India,Utah,Adamsborough,P613,reach,Electronics,Laptop,Nixon-Collins,5,6997,Card,Female,21,34983
A10021,30-03-2026,26-08-2026,13-09-2026,Delivered,C6006,William Graves,India,California,West Stephanie,P670,cultural,Home,Furniture,Powers-Strickland,4,31380,COD,Male,62,125521
A10022,20-09-2026,01-05-2026,11-05-2026,Delivered,C5324,Sharon Randall,India,Utah,North Frederick,P142,one,Fashion,Footwear,"Turner, Sims and Edwards",2,36314,COD,Female,32,72628
A10023,31-05-2026,23-02-2026,05-07-2026,Delivered,C7001,David Carlson,India,Oregon,Timothyborough,P280,watch,Fashion,Footwear,Davies Ltd,3,45589,Card,Female,52,136766
A10024,05-08-2026,02-08-2026,21-09-2026,Delivered,C9013,Kristie Douglas,India,Vermont,Abigailport,P686,future,Fashion,Clothing,Donovan-Cline,5,23173,COD,Male,49,115867
A10025,05-05-2026,30-07-2026,07-03-2026,Delivered,C6977,Michael Atkins,India,Indiana,Mileshaven,P460,but,Fashion,Clothing,Powers-Compton,1,17306,Card,Male,23,17306
A10026,07-04-2026,05-10-2026,17-02-2026,Delivered,C9964,Christopher Larsen,India,Indiana,New Kimberly,P887,camera,Fashion,Footwear,"Erickson, Higgins and Gregory",3,10261,COD,Female,40,30782
A10027,03-04-2026,31-10-2026,28-04-2026,Delivered,C5658,Dr. Willie Pope,India,California,East Teresa,P486,system,Electronics,Mobile,Mccall-Sanchez,3,11373,COD,Male,18,34120
A10028,11-12-2026,28-12-2026,04-05-2026,Delivered,C9543,Dennis Gutierrez,India,Pennsylvania,Dwaynehaven,P305,set,Electronics,Laptop,Valdez Ltd,5,7024,NetBanking,Male,30,35118
A10029,02-01-2026,22-07-2026,16-02-2026,Delivered,C1177,Patricia Rodriguez,India,New Jersey,Port Amandafurt,P572,son,Fashion,Footwear,Zuniga-Stewart,4,1039,NetBanking,Male,65,4155
A10030,08-04-2026,10-05-2026,01-04-2026,Delivered,C7260,Scott Johnson,India,Pennsylvania,North Sara,P876,recognize,Electronics,Accessories,Shaw Group,4,46780,NetBanking,Male,25,187119
A10031,23-06-2026,22-05-2026,05-09-2026,Delivered,C6347,Rickey Foster,India,Arizona,South Roberta,P457,ability,Home,Furniture,"Fowler, Luna and Johnson",3,15345,NetBanking,Male,49,46036
